Timestamp	SourceIP	SourcePort	DestIP	DestPort	Protocol
____________________________________________________________________________________________________
16:6:13 		192.168.56.1 		42701 		239.255.255.250 		1900 		UDP 
16:6:14 		192.168.56.1 		42701 		239.255.255.250 		1900 		UDP 
16:6:15 		192.168.56.1 		42701 		239.255.255.250 		1900 		UDP 
16:6:16 		192.168.56.1 		42701 		239.255.255.250 		1900 		UDP 
16:8:13 		192.168.56.1 		49639 		239.255.255.250 		1900 		UDP 
16:8:14 		192.168.56.1 		49639 		239.255.255.250 		1900 		UDP 
16:8:15 		192.168.56.1 		49639 		239.255.255.250 		1900 		UDP 
16:8:16 		192.168.56.1 		49639 		239.255.255.250 		1900 		UDP 
16:10:13 		192.168.56.1 		51402 		239.255.255.250 		1900 		UDP 
16:10:14 		192.168.56.1 		51402 		239.255.255.250 		1900 		UDP 
16:10:15 		192.168.56.1 		51402 		239.255.255.250 		1900 		UDP 
16:10:16 		192.168.56.1 		51402 		239.255.255.250 		1900 		UDP 
16:11:12 		192.168.56.102 		68 		192.168.56.100 		67 		UDP 
16:11:12 		192.168.56.100 		67 		192.168.56.102 		68 		UDP 
16:11:17 		192.168.56.102 		219 		192.168.56.100 		219 		ARP 
16:11:17 		192.168.56.100 		219 		192.168.56.102 		219 		ARP 
16:12:13 		192.168.56.1 		35287 		239.255.255.250 		1900 		UDP 
16:12:14 		192.168.56.1 		35287 		239.255.255.250 		1900 		UDP 
16:12:15 		192.168.56.1 		35287 		239.255.255.250 		1900 		UDP 
16:12:16 		192.168.56.1 		35287 		239.255.255.250 		1900 		UDP 
16:14:13 		192.168.56.1 		34281 		239.255.255.250 		1900 		UDP 
16:14:14 		192.168.56.1 		34281 		239.255.255.250 		1900 		UDP 
16:14:15 		192.168.56.1 		34281 		239.255.255.250 		1900 		UDP 
16:14:16 		192.168.56.1 		34281 		239.255.255.250 		1900 		UDP 
16:16:13 		192.168.56.1 		45800 		239.255.255.250 		1900 		UDP 
16:16:14 		192.168.56.1 		45800 		239.255.255.250 		1900 		UDP 
16:16:15 		192.168.56.1 		45800 		239.255.255.250 		1900 		UDP 
16:16:16 		192.168.56.1 		45800 		239.255.255.250 		1900 		UDP 
16:18:13 		192.168.56.1 		39171 		239.255.255.250 		1900 		UDP 
16:18:14 		192.168.56.1 		39171 		239.255.255.250 		1900 		UDP 
16:18:15 		192.168.56.1 		39171 		239.255.255.250 		1900 		UDP 
16:18:16 		192.168.56.1 		39171 		239.255.255.250 		1900 		UDP 
16:18:55 		192.168.56.102 		68 		192.168.56.100 		67 		UDP 
16:18:55 		192.168.56.100 		67 		192.168.56.102 		68 		UDP 
16:19:0 		192.168.56.102 		219 		192.168.56.100 		219 		ARP 
16:19:0 		192.168.56.100 		219 		192.168.56.102 		219 		ARP 
16:20:13 		192.168.56.1 		48739 		239.255.255.250 		1900 		UDP 
16:20:14 		192.168.56.1 		48739 		239.255.255.250 		1900 		UDP 
16:20:15 		192.168.56.1 		48739 		239.255.255.250 		1900 		UDP 
16:20:16 		192.168.56.1 		48739 		239.255.255.250 		1900 		UDP 
16:22:13 		192.168.56.1 		55768 		239.255.255.250 		1900 		UDP 
16:22:14 		192.168.56.1 		55768 		239.255.255.250 		1900 		UDP 
16:22:15 		192.168.56.1 		55768 		239.255.255.250 		1900 		UDP 
16:22:16 		192.168.56.1 		55768 		239.255.255.250 		1900 		UDP 
16:24:13 		192.168.56.1 		57236 		239.255.255.250 		1900 		UDP 
16:24:14 		192.168.56.1 		57236 		239.255.255.250 		1900 		UDP 
16:24:15 		192.168.56.1 		57236 		239.255.255.250 		1900 		UDP 
16:24:16 		192.168.56.1 		57236 		239.255.255.250 		1900 		UDP 
16:26:13 		192.168.56.1 		58320 		239.255.255.250 		1900 		UDP 
16:26:14 		192.168.56.1 		58320 		239.255.255.250 		1900 		UDP 
16:26:15 		192.168.56.1 		58320 		239.255.255.250 		1900 		UDP 
16:26:16 		192.168.56.1 		58320 		239.255.255.250 		1900 		UDP 
16:28:13 		192.168.56.1 		51110 		239.255.255.250 		1900 		UDP 
16:28:14 		192.168.56.1 		51110 		239.255.255.250 		1900 		UDP 
16:28:15 		192.168.56.1 		51110 		239.255.255.250 		1900 		UDP 
16:28:16 		192.168.56.1 		51110 		239.255.255.250 		1900 		UDP 
16:28:50 		192.168.56.102 		68 		192.168.56.100 		67 		UDP 
16:28:50 		192.168.56.100 		67 		192.168.56.102 		68 		UDP 
16:28:55 		192.168.56.102 		219 		192.168.56.100 		219 		ARP 
